epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,11037.2,1.25198,1.77069,1.46204,0.59694,0.52196,0.54629,0.3877,1.4659,2.04548,1.71237,0.0007624,0.0007624,0.0007624
14,11877.2,1.2278,1.7131,1.43933,0.57229,0.58086,0.58191,0.41901,1.40316,1.84954,1.61388,0.0007426,0.0007426,0.0007426
15,12725.3,1.19957,1.65686,1.41603,0.60715,0.55721,0.58155,0.42001,1.41477,1.88081,1.63574,0.0007228,0.0007228,0.0007228
16,13568,1.17292,1.63452,1.40597,0.60704,0.56612,0.58792,0.42036,1.42451,1.84981,1.65245,0.000703,0.000703,0.000703
17,14408.6,1.17749,1.61108,1.40386,0.58215,0.59496,0.58015,0.42137,1.37698,1.82602,1.57555,0.0006832,0.0006832,0.0006832
18,15249.2,1.16186,1.5987,1.38792,0.58259,0.56979,0.58253,0.41975,1.37269,1.77046,1.57884,0.0006634,0.0006634,0.0006634
19,16090.3,1.17278,1.58944,1.39903,0.57348,0.5883,0.58901,0.43915,1.37526,1.87515,1.61381,0.0006436,0.0006436,0.0006436
20,16932.1,1.15452,1.5462,1.37162,0.62278,0.59427,0.62316,0.46626,1.33701,1.70809,1.56152,0.0006238,0.0006238,0.0006238
21,17842.1,1.13735,1.52394,1.36908,0.53969,0.59102,0.58826,0.43024,1.40121,1.86849,1.64262,0.000604,0.000604,0.000604
22,18851.9,1.12102,1.48368,1.35269,0.60119,0.59404,0.60854,0.45309,1.32864,1.69607,1.54707,0.0005842,0.0005842,0.0005842
23,19723.5,1.11358,1.44461,1.34978,0.61252,0.61397,0.61243,0.46061,1.32657,1.80118,1.54204,0.0005644,0.0005644,0.0005644
24,20579,1.10682,1.46024,1.34674,0.63544,0.61644,0.62825,0.46559,1.32478,1.6891,1.5243,0.0005446,0.0005446,0.0005446
25,21442.1,1.0916,1.42391,1.33686,0.6722,0.61397,0.63193,0.46816,1.32748,1.70549,1.55189,0.0005248,0.0005248,0.0005248
26,22297.1,1.10998,1.41577,1.34672,0.67826,0.61749,0.65249,0.49195,1.29539,1.62825,1.51775,0.000505,0.000505,0.000505
27,23141.9,1.07677,1.39149,1.32648,0.64669,0.62303,0.64544,0.47767,1.31613,1.68654,1.56079,0.0004852,0.0004852,0.0004852
28,23986.5,1.07997,1.3595,1.32548,0.64475,0.62982,0.6346,0.47891,1.29132,1.62563,1.51422,0.0004654,0.0004654,0.0004654
29,24831.1,1.07879,1.37571,1.32543,0.70379,0.58807,0.64844,0.47908,1.29915,1.57582,1.5147,0.0004456,0.0004456,0.0004456
30,25674.6,1.05846,1.34345,1.31234,0.694,0.61345,0.65762,0.49168,1.28505,1.53891,1.50925,0.0004258,0.0004258,0.0004258
31,26519.4,1.04348,1.31117,1.30185,0.65793,0.59998,0.63198,0.4813,1.30212,1.60043,1.523,0.000406,0.000406,0.000406
32,27363,1.04386,1.30608,1.30164,0.68566,0.62468,0.66621,0.50615,1.25495,1.5131,1.48156,0.0003862,0.0003862,0.0003862
33,28208.6,1.03162,1.27059,1.2887,0.7071,0.62317,0.66757,0.50915,1.26125,1.50445,1.46981,0.0003664,0.0003664,0.0003664
34,29050.4,1.0345,1.25665,1.28847,0.67169,0.63232,0.65389,0.50451,1.28439,1.55148,1.49469,0.0003466,0.0003466,0.0003466
35,29893.9,1.03076,1.25669,1.28664,0.6831,0.63967,0.66386,0.51171,1.25183,1.49723,1.46916,0.0003268,0.0003268,0.0003268
36,30754.7,1.00433,1.22624,1.26644,0.72084,0.64198,0.67765,0.52235,1.23047,1.45885,1.45459,0.000307,0.000307,0.000307
37,31600.6,1.00018,1.20609,1.26726,0.68666,0.65919,0.68242,0.51986,1.24197,1.44256,1.46397,0.0002872,0.0002872,0.0002872
38,32443.5,1.00515,1.19797,1.26627,0.68756,0.64421,0.67194,0.51868,1.25039,1.48109,1.47506,0.0002674,0.0002674,0.0002674
39,33285,1.00072,1.1794,1.2645,0.70472,0.65021,0.67511,0.51988,1.23385,1.47619,1.46281,0.0002476,0.0002476,0.0002476
40,34127,1.00804,1.18568,1.26377,0.7053,0.66287,0.69178,0.53415,1.22921,1.43748,1.44371,0.0002278,0.0002278,0.0002278
41,34964.6,1.009,1.16564,1.31028,0.71526,0.66291,0.68518,0.53261,1.22062,1.41174,1.4401,0.000208,0.000208,0.000208
42,35792.2,0.98501,1.09373,1.29593,0.7158,0.66574,0.70271,0.54148,1.21463,1.3737,1.44192,0.0001882,0.0001882,0.0001882
43,36622,0.97974,1.047,1.28723,0.76869,0.66225,0.71142,0.54403,1.20215,1.35251,1.42464,0.0001684,0.0001684,0.0001684
44,37451.1,0.95403,1.03708,1.27055,0.76844,0.65209,0.70441,0.54542,1.19313,1.36622,1.4228,0.0001486,0.0001486,0.0001486
45,38316.9,0.94985,1.01333,1.27013,0.73059,0.66431,0.70575,0.5451,1.20304,1.36031,1.43393,0.0001288,0.0001288,0.0001288
46,39153.2,0.93885,0.97545,1.25286,0.75123,0.66157,0.71009,0.55164,1.1902,1.34756,1.42836,0.000109,0.000109,0.000109
47,39990.8,0.92771,0.96947,1.2467,0.78358,0.64602,0.71002,0.54872,1.20254,1.35779,1.43843,8.92e-05,8.92e-05,8.92e-05
48,40821,0.92258,0.94771,1.24269,0.74509,0.6738,0.71452,0.55362,1.19896,1.34095,1.42845,6.94e-05,6.94e-05,6.94e-05
49,41651.6,0.91991,0.94485,1.24112,0.75708,0.6667,0.71357,0.55409,1.20114,1.33396,1.43373,4.96e-05,4.96e-05,4.96e-05
50,42479.7,0.90651,0.92342,1.22623,0.75916,0.67366,0.7172,0.55607,1.19319,1.31979,1.42405,2.98e-05,2.98e-05,2.98e-05
